ID	gene_family	genbank_protein_accession	genbank_nucleotide_accession	class	subclass	pubmed_reference	product_name	Resistance Mechanism
CAA35913.1	aac(3)-IIe	CAA35913.1	X51534.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-IIe	-
ACO54181.1	aac(3)-IIg	ACO54181.1	EU855787.1	AMINOGLYCOSIDE	GENTAMICIN	32571822	aminoglycoside N-acetyltransferase AAC(3)-IIg	-
ABB43029.1	aac(3)-IVa	ABB43029.1	DQ241380.1	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	15231771	aminoglycoside N-acetyltransferase AAC(3)-IVa	-
KAA0181672.1	aac(3)-IVb	KAA0181672.1	VSRI01000003.1	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	15231771	aminoglycoside N-acetyltransferase AAC(3)-IVb	-
AAA25334.1	aac(3)-IXa	AAA25334.1	M55427.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2060791	aminoglycoside N-acetyltransferase AAC(3)-IXa	-
AAF68257.1	aac(3)-Ia	AAF68257.1	AF207065.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ia	-
CAA08847.1	aac(3)-Ia	CAA08847.1	AJ009820.2	AMINOGLYCOSIDE	GENTAMICIN	9835490	aminoglycoside N-acetyltransferase AAC(3)-Ia	-
CAJ32498.1	aac(3)-Ia	CAJ32498.1	AM087409.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ia	-
AAN41440.1	aac(3)-Ia	AAN41440.1	AY139604.1	AMINOGLYCOSIDE	GENTAMICIN	19719593	aminoglycoside N-acetyltransferase AAC(3)-Ia	-
ADH03009.1	aac(3)-Ia	ADH03009.1	HM036080.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ia	-
	aac(3)-Ia		S68049.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ia	-
AAG15269.1	aac(3)-Ia	AAG15269.1	U12338.3	AMINOGLYCOSIDE	GENTAMICIN	2549372	aminoglycoside N-acetyltransferase AAC(3)-Ia	-
	aac(3)-Ib		CP002151.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ib	-
ADU86600.1	aac(3)-Ib	ADU86600.1	GU390401.1	AMINOGLYCOSIDE	GENTAMICIN	7486920	aminoglycoside N-acetyltransferase AAC(3)-Ib	-
AAL82588.1	aac(3)-Ib/aac(6')-Ib''	AAL82588.1	AF355189.1	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	11850242	bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib''	-
CAD53575.1	aac(3)-Ic	CAD53575.1	AJ511268.1	AMINOGLYCOSIDE	GENTAMICIN	12709352	aminoglycoside N-acetyltransferase AAC(3)-Ic	-
BAD00738.1	aac(3)-Id	BAD00738.1	AB114632.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Id	-
CAO78542.1	aac(3)-Id	CAO78542.1	AM749810.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Id	-
AAX16011.1	aac(3)-If	AAX16011.1	AY884051.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-If	-
ABN10340.1	aac(3)-If	ABN10340.1	EF207718.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-If	-
ABD81100.1	aac(3)-Ig	ABD81100.1	CP000282.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ig	-
ABL71428.1	aac(3)-Ih	ABL71428.1	CP000490.1	AMINOGLYCOSIDE	GENTAMICIN	16723604	aminoglycoside N-acetyltransferase AAC(3)-Ih	-
ABF52347.1	aac(3)-Ii	ABF52347.1	CP000356.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-Ii	-
BAD95833.1	aac(3)-VIII	BAD95833.1	AB211959.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(3)-VIII	-
CAG34706.1	aac(3)-VIII	CAG34706.1	AJ748131.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(3)-VIII	-
CAH58703.1	aac(3)-VIII	CAH58703.1	AJ843080.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(3)-VIII	-
AAA26685.1	aac(3)-VIII	AAA26685.1	M55426.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2060791	aminoglycoside N-acetyltransferase AAC(3)-VIIIa	-
AAA88552.1	aac(3)-VIIa	AAA88552.1	M22999.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2914849	aminoglycoside N-acetyltransferase AAC(3)-VIIa	-
	aac(3)-VIa		DQ517526.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-VIa	-
AAA16194.1	aac(3)-VIa	AAA16194.1	M88012.1	AMINOGLYCOSIDE	GENTAMICIN	8257126	aminoglycoside N-acetyltransferase AAC(3)-VIa	-
CQD12588.1	aac(3)-XI	CQD12588.1	CTEG01000046.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(3)-XI	-
BAA78619.1	aac(3)-Xa	BAA78619.1	AB028210.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	10639379	aminoglycoside N-acetyltransferase AAC(3)-Xa	-
EEQ11435.1	aac(6')	EEQ11435.1	AALD02000008.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
BAM45412.1	aac(6')	BAM45412.1	AB733642.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		AJTQ01000183.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		ALOV01000006.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
EMF04571.1	aac(6')	EMF04571.1	AORJ01000065.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
BAO35700.1	aac(6')	BAO35700.1	AP013063.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		AUIH01000073.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase	-
ERH70569.1	aac(6')	ERH70569.1	AVSR01000023.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
EST37714.1	aac(6')	EST37714.1	AWQV01000373.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AIM23676.1	aac(6')	AIM23676.1	CP003424.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AGE20052.1	aac(6')	AGE20052.1	CP003959.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AJC61747.1	aac(6')	AJC61747.1	CP003987.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AIA46829.1	aac(6')	AIA46829.1	CP005927.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AJT67207.1	aac(6')	AJT67207.1	CP007699.2	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AJT69959.1	aac(6')	AJT69959.1	CP007699.2	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AKL42171.1	aac(6')	AKL42171.1	CP011642.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
ALE97986.1	aac(6')	ALE97986.1	CP012685.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
ALL39971.1	aac(6')	ALL39971.1	CP013046.2	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AUU10860.1	aac(6')	AUU10860.1	CP026050.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
ESP99889.1	aac(6')	ESP99889.1	CP106650.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
CNE19069.1	aac(6')	CNE19069.1	CPYJ01000001.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
CNH39072.1	aac(6')	CNH39072.1	CQBM01000001.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
CNK13080.1	aac(6')	CNK13080.1	CQDZ01000001.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
CQH02469.1	aac(6')	CQH02469.1	CTIO01000003.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
EFE83821.1	aac(6')	EFE83821.1	DS999645.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
EFL01423.1	aac(6')	EFL01423.1	GG657742.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
CDG14101.1	aac(6')	CDG14101.1	HG326223.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
ETX42903.1	aac(6')	ETX42903.1	JAPC01000008.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
ETX44633.1	aac(6')	ETX44633.1	JAPD01000005.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
EZQ63051.1	aac(6')	EZQ63051.1	JJMZ01000006.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KFD15114.1	aac(6')	KFD15114.1	JMPQ01000033.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JNZA01000018.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JOGT01000014.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JOGU01000006.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KFB54973.1	aac(6')	KFB54973.1	JPOB01000020.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KFF87932.1	aac(6')	KFF87932.1	JPUX01000001.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KKO56015.1	aac(6')	KKO56015.1	JSFB01000001.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
PNO64647.1	aac(6')	PNO64647.1	JTBC02000011.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JTVI01000034.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JUOM01000037.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JVCS01000042.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JVIF01000032.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JVNH01000105.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JVXJ01000057.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JVYI01000082.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		JWBL01000029.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KHO40870.1	aac(6')	KHO40870.1	JWLO01000007.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KIX79344.1	aac(6')	KIX79344.1	JXOM01000108.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KIQ65506.1	aac(6')	KIQ65506.1	JXZB01000002.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		KB905816.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		KB907453.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		KE375664.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AGY30798.1	aac(6')	AGY30798.1	KF525275.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AGY30800.1	aac(6')	AGY30800.1	KF525276.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
AHN60086.1	aac(6')	AHN60086.1	KJ138219.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		KN549149.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
	aac(6')		LATD01000220.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KLJ03806.1	aac(6')	KLJ03806.1	LAYX01000007.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KKZ18771.1	aac(6')	KKZ18771.1	LCWI01000005.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KLE36360.1	aac(6')	KLE36360.1	LDEG01000018.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KOQ68998.1	aac(6')	KOQ68998.1	LDVR01000042.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KLX11493.1	aac(6')	KLX11493.1	LETV01000019.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KMJ12223.1	aac(6')	KMJ12223.1	LFBS01000007.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KMU66930.1	aac(6')	KMU66930.1	LFKU01000005.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KOU01101.1	aac(6')	KOU01101.1	LGCX01000149.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KOX34026.1	aac(6')	KOX34026.1	LGEF01000079.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
KVS21672.1	aac(6')	KVS21672.1	LPCS01000005.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase	-
ABR10839.1	aac(6')	ABR10839.1	EF614235.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	17938181	aminoglycoside N-acetyltransferase AAC(6')-32	-
ACT99625.1	aac(6')	ACT99625.1	GQ337064.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	19738007	aminoglycoside 6'-N-acetyltransferase AAC(6')-33	-
AAP43642.1	aac(6')	AAP43642.1	AY289608.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	15231768	aminoglycoside 6'-N-acetyltransferase AAC(6')-I30	-
AAL20537.1	aac(6')	AAL20537.1	AE006468.2	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaa	-
BAD14386.1	aac(6')	BAD14386.1	AB104852.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	16127047	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae	-
BAH66386.1	aac(6')	BAH66386.1	AB462903.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	19349516	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf	-
ACI28880.1	aac(6')	ACI28880.1	EU886977.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai	-
BAM46120.1	aac(6')	BAM46120.1	AB709942.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	23070167	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaj	-
BAO05514.1	aac(6')	BAO05514.1	AB871481.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(6')-Ial	-
AAA26549.1	aac(6')	AAA26549.1	M94066.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	1354954	aminoglycoside N-acetyltransferase AAC(6')-Ic	-
BAD10948.2	aac(6')	BAD10948.2	AB116646.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	15625322	aminoglycoside N-acetyltransferase AAC(6')-Isa	-
AAF03531.1	aac(6')	AAF03531.1	AF144880.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase AAC(6')-Iy	-
ADX02779.1	aac(6')	ADX02779.1	CP001921.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16	-
	aac(6')		CP003601.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase AacA47	-
AIT97187.1	aac(6')	AIT97187.1	KM201605.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56	-
KVJ93461.1	aac(6')-29	KVJ93461.1	LRJS01000061.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase AAC(6')-29	-
	aac(6')-29		AF263519.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	11158753	aminoglycoside N-acetyltransferase AAC(6')-29a	-
	aac(6')-29		AF263519.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	11158753	aminoglycoside N-acetyltransferase AAC(6')-29b	-
KDF29949.1	aac(6')-30	KDF29949.1	JMUP01000027.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside 6'-N-acetyltransferase AAC(6')-30	-
CAE48335.2	aac(6')-30/aac(6')-Ib'	CAE48335.2	AJ584652.2	AMINOGLYCOSIDE	AMINOGLYCOSIDE/GENTAMICIN	15561846	bifunctional aminoglycoside N-acetyltransferase AAC(6')-30/aminoglycoside N-acetyltransferase AAC(6')-Ib'	-
CAK55563.1	aac(6')-31	CAK55563.1	AM283490.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(6')-31	-
	aac(6')-31		BCBD01000273.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(6')-31	-
ALO40181.1	aac(6')-31	ALO40181.1	CP013119.1	AMINOGLYCOSIDE	AMINOGLYCOSIDE		aminoglycoside N-acetyltransferase AAC(6')-31	-
ATL63228.1	aac(6')-35	ATL63228.1	KY753879.1	AMINOGLYCOSIDE	KANAMYCIN		aminoglycoside 6'-N-acetyltransferase AAC(6')-35	-
BBQ06954.1	aac(6')-D292	BBQ06954.1	AP022313.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN		aminoglycoside 6'-N-acetyltransferase AAC(6')-D292	-
HAT6309885.1	aac(6')-D42	HAT6309885.1	DACTUC010000003.1	AMINOGLYCOSIDE	KANAMYCIN		aminoglycoside 6'-N-acetyltransferase AAC(6')-D42	-
HBF5765022.1	aac(6')-E111	HBF5765022.1	DAEJSU010000351.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E111	-
	aac(6')-E141		AUHM01000001.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E141	-
EAI0894813.1	aac(6')-E449	EAI0894813.1	AABMIF010000005.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E449	-
MDT2722150.1	aac(6')-E526	MDT2722150.1	JARPZR010000015.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E526	-
ALU27430.1	aac(6')-E550	ALU27430.1	CP013690.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E550	-
EAB8931782.1	aac(6')-E553	EAB8931782.1	AAAGDO010000044.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E553	-
EIK27843.1	aac(6')-E606	EIK27843.1	AHBU01000053.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E606	-
EAC1778952.1	aac(6')-E64	EAC1778952.1	AAAHCF010000016.1	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E64	-
AIL47505.1	aac(6')-E657	AIL47505.1	CP007547.1	AMINOGLYCOSIDE	TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E657	-
ROE34536.1	aac(6')-E963	ROE34536.1	PTFG02000161.1	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside 6'-N-acetyltransferase AAC(6')-E963	-
